Date,DRP** mg/L P,NH3 mg/L N,NO2 mg/L N,NO3 mg/L N,PO4 mg/L P,SKN mg/L N,TDN mg/L N,TDP mg/L P,TKN mg/L N,TN mg/L N,TP mg/L P,TSS mg/L,flow mgd,pH,peak_flow mgd,temperature degC,urea* mg/L N
2000-01-02,,,,4.46,2.91,,,,40.29,,4.51,,62.9,,,,
2000-01-03,,,,4.46,2.91,,,,40.29,,4.51,,65.7,,,,
2000-01-04,,,,4.46,2.91,,,,40.29,,4.51,,64.6,,,,
2000-01-05,,,,4.46,2.91,,,,40.29,,4.51,,65.5,,,,
2000-01-06,,,,4.46,2.91,,,,40.29,,4.51,,64.1,,,,
2000-01-07,,,,4.46,2.91,,,,40.29,,4.51,,64,,,,
2000-01-08,,,,4.46,2.91,,,,40.29,,4.51,,64.5,,,,
2000-01-09,,,,4.46,2.91,,,,40.29,,4.51,,63.2,,,,
2000-01-10,,,,4.46,2.91,,,,40.29,,4.51,,64,,,,
2000-01-11,,,,4.46,2.91,,,,40.29,,4.51,,85.9,,,,
2000-01-12,,,,4.46,2.91,,,,40.29,,4.51,,68.1,,,,
2000-01-13,,,,4.46,2.91,,,,40.29,,4.51,,66.6,,,,
2000-01-14,,,,4.46,2.91,,,,40.29,,4.51,,66.3,,,,
2000-01-15,,,,4.46,2.91,,,,40.29,,4.51,,75.7,,,,
2000-01-16,,,,4.46,2.91,,,,40.29,,4.51,,72.1,,,,
2000-01-17,,,,4.46,2.91,,,,40.29,,4.51,,81.1,,,,
2000-01-18,,,,4.46,2.91,,,,40.29,,4.51,,91.8,,,,
2000-01-19,,18.2,,4.46,2.91,,,,40.29,,4.51,,80.9,,,,
2000-01-20,,,,4.46,2.91,,,,40.29,,4.51,,72.1,,,,
2000-01-21,,,,4.46,2.91,,,,40.29,,4.51,,74.6,,,,
2000-01-22,,,,4.46,2.91,,,,40.29,,4.51,,82.4,,,,
2000-01-23,,,,4.46,2.91,,,,40.29,,4.51,,203.8,,,,
2000-01-24,,,,4.46,2.91,,,,40.29,,4.51,,240.7,,,,
2000-01-25,,,,4.46,2.91,,,,40.29,,4.51,,152.3,,,,
2000-01-26,,,,4.46,2.91,,,,40.29,,4.51,,95.1,,,,
2000-01-27,,,,4.46,2.91,,,,40.29,,4.51,,89.9,,,,
2000-01-28,,,,4.46,2.91,,,,40.29,,4.51,,81.6,,,,
2000-01-29,,,,4.46,2.91,,,,40.29,,4.51,,78.6,,,,
2000-01-30,,,,4.46,2.91,,,,40.29,,4.51,,98.9,,,,
2000-01-31,,,,4.46,2.91,,,,40.29,,4.51,,86.1,,,,
2000-02-01,,,,4.46,2.91,,,,40.29,,4.51,,80.1,,,,
2000-02-02,,,,4.46,2.91,,,,40.29,,4.51,,79.2,,,,
2000-02-03,,,,4.46,2.91,,,,40.29,,4.51,,86.8,,,,
2000-02-04,,,,4.46,2.91,,,,40.29,,4.51,,78.1,,,,
2000-02-05,,,,4.46,2.91,,,,40.29,,4.51,,95.4,,,,
2000-02-06,,,,4.46,2.91,,,,40.29,,4.51,,80.5,,,,
2000-02-07,,,,4.46,2.91,,,,40.29,,4.51,,76.4,,,,
2000-02-08,,24.4,,4.46,2.91,,,,40.29,,4.51,,74.3,,,,
2000-02-09,,,,4.46,2.91,,,,40.29,,4.51,,73.3,,,,
2000-02-10,,,,4.46,2.91,,,,40.29,,4.51,,114.6,,,,
2000-02-11,,,,4.46,2.91,,,,40.29,,4.51,,182.5,,,,
2000-02-12,,,,4.46,2.91,,,,40.29,,4.51,,178.8,,,,
2000-02-13,,,,4.46,2.91,,,,40.29,,4.51,,293,,,,
2000-02-14,,,,4.46,2.91,,,,40.29,,4.51,,195.1,,,,
2000-02-15,,,,4.46,2.91,,,,40.29,,4.51,,144.3,,,,
2000-02-16,,,,4.46,2.91,,,,40.29,,4.51,,123.7,,,,
2000-02-17,,,,4.46,2.91,,,,40.29,,4.51,,96.4,,,,
2000-02-18,,,,4.46,2.91,,,,40.29,,4.51,,96.3,,,,
2000-02-19,,,,4.46,2.91,,,,40.29,,4.51,,91.2,,,,
2000-02-20,,,,4.46,2.91,,,,40.29,,4.51,,133.2,,,,
2000-02-21,,,,4.46,2.91,,,,40.29,,4.51,,131.6,,,,
2000-02-22,,,,4.46,2.91,,,,40.29,,4.51,,170.9,,,,
2000-02-23,,,,4.46,2.91,,,,40.29,,4.51,,169.5,,,,
2000-02-24,,,,4.46,2.91,,,,40.29,,4.51,,130.5,,,,
2000-02-25,,,,4.46,2.91,,,,40.29,,4.51,,108.3,,,,
2000-02-26,,,,4.46,2.91,,,,40.29,,4.51,,139.8,,,,
2000-02-27,,,,4.46,2.91,,,,40.29,,4.51,,164.4,,,,
2000-02-28,,,,4.46,2.91,,,,40.29,,4.51,,121.3,,,,
2000-02-29,,,,4.46,2.91,,,,40.29,,4.51,,140.3,,,,
2000-03-01,,,,4.46,2.91,,,,40.29,,4.51,,108.7,,,,
2000-03-02,,,,4.46,2.91,,,,40.29,,4.51,,122.2,,,,
2000-03-03,,,,4.46,2.91,,,,40.29,,4.51,,96.2,,,,
2000-03-04,,,,4.46,2.91,,,,40.29,,4.51,,140.9,,,,
2000-03-05,,,,4.46,2.91,,,,40.29,,4.51,,151.1,,,,
2000-03-06,,,,4.46,2.91,,,,40.29,,4.51,,115.1,,,,
2000-03-07,,,,4.46,2.91,,,,40.29,,4.51,,126.2,,,,
2000-03-08,,,,4.46,2.91,,,,40.29,,4.51,,165.7,,,,
2000-03-09,,,,4.46,2.91,,,,40.29,,4.51,,148.9,,,,
2000-03-10,,,,4.46,2.91,,,,40.29,,4.51,,112.1,,,,
2000-03-11,,,,4.46,2.91,,,,40.29,,4.51,,105.4,,,,
2000-03-12,,,,4.46,2.91,,,,40.29,,4.51,,94.6,,,,
2000-03-13,,,,4.46,2.91,,,,40.29,,4.51,,88.5,,,,
2000-03-14,,,,4.46,2.91,,,,40.29,,4.51,,85.2,,,,
2000-03-15,,18.8,,4.46,2.91,,,,40.29,,4.51,,81.3,,,,
2000-03-16,,,,4.46,2.91,,,,40.29,,4.51,,85.7,,,,
2000-03-17,,,,4.46,2.91,,,,40.29,,4.51,,82.8,,,,
2000-03-18,,,,4.46,2.91,,,,40.29,,4.51,,80.5,,,,
