Date,DRP** mg/L P,Month,NH3 mg/L N,NO2 mg/L N,NO3 mg/L N,OrgN mg/L N,PO4 mg/L P,SKN mg/L N,TDN mg/L N,TDP mg/L P,TDS mg/L,TKN mg/L N,TN mg/L N,TP mg/L P,TSS mg/L,Year,flow mgd,pH,peak_flow mgd,temperature degC,urea* mg/L N
2004-03-09,,3,2.6,0.23,10.5,4.2,,,,,,,,,9.7,2004,11.24,6.8,,17.5,
2004-03-10,,3,2.3,,,,,,,,,,,,9.2,2004,17.57,7.3,,19,
2004-03-11,,3,2.7,,,,,,,,,,,,11,2004,15.31,7.2,,19.5,
2004-03-15,,3,2,0.28,,4.7,,,,,,,,,10.4,2004,17.04,6.7,,21,
2004-03-16,,3,1,,10.5,,,,,,,,,,6.2,2004,9.28,7.2,,20.5,
2004-03-17,,3,0.5,,,,,,,,,,,,7.6,2004,14.08,7.1,,21,
2004-03-21,,3,0.3,0.16,8.4,6.1,,,,,,,,,12.6,2004,15.05,7.3,,20,
2004-03-22,,3,0.2,,,,,,,,,,,,10,2004,16.39,7.2,,19.5,
2004-03-23,,3,0.1,,,,,,,,,,,,13.6,2004,10.96,7,,19.5,
2004-03-29,,3,0.3,0.01,6.8,6.2,,,,,,,,,11.9,2004,11.01,7.2,,20,
2004-03-30,,3,0.1,,,,,,,,,,,,10.3,2004,16.71,7.3,,17.5,
2004-03-31,,3,0.1,,,,,,,,,,,,10.5,2004,10.84,7,,16.5,
2004-04-07,,4,0.2,0.01,6.9,6.3,3.72,,,,,,,4,12.5,2004,12.92,7.3,,16.5,
2004-04-08,,4,0.2,,,,,,,,,,,,2.6,2004,10.68,7.4,,17,
2004-04-09,,4,0.2,,,,,,,,,,,,8,2004,7.12,6.8,,17.5,
2004-04-13,,4,0.1,0.01,5.8,5.8,,,,,,,,,12,2004,9.12,6.7,,17.5,
2004-04-14,,4,0.3,,,,,,,,,,,,12.1,2004,11.88,7.3,,17.5,
2004-04-15,,4,0.4,,,,,,,,,,,,12.1,2004,7.74,6.8,,17.5,
2004-04-19,,4,0.2,0.01,6,5.8,,,,,,,,,12.3,2004,5.89,7.1,,15,
2004-04-20,,4,0.2,,,,,,,,,,,,13.4,2004,6.98,7.3,,17.5,
2004-04-21,,4,0.3,,,,,,,,,,,,10.7,2004,7.16,7.2,,18,
2004-04-25,,4,0.6,0.02,6,5.8,,,,,,,,,11.6,2004,7.91,7.3,,22.5,
2004-04-26,,4,0.4,,,,,,,,,,,,11.9,2004,6.98,7.2,,22,
2004-04-27,,4,0.3,,,,,,,,,,,,11.5,2004,7.57,7.2,,24.5,
2004-05-05,,5,0.2,0.02,4.3,6.3,3.627,,,,,,,3.9,9.9,2004,8.21,6.7,,21.5,
2004-05-06,,5,0.2,,,,,,,,,,,,8.1,2004,8.36,6.7,,21.5,
2004-05-07,,5,0.3,,,,,,,,,,,,10.3,2004,13.66,7.1,,21.5,
2004-05-11,,5,0.2,0.02,5.5,5.8,,,,,,,,,7.8,2004,11.54,7.1,,18.5,
2004-05-12,,5,0.2,,,,,,,,,,,,11.7,2004,12.68,7.1,,19.5,
2004-05-13,,5,0.4,,,,,,,,,,,,7,2004,9.63,,,,
2004-05-17,,5,0.2,0.02,5.6,6.7,,,,,,,,,10.6,2004,14.95,7.1,,19.5,
2004-05-18,,5,0.2,,,,,,,,,,,,10.9,2004,10.13,6.9,,20.5,
2004-05-19,,5,0.3,,,,,,,,,,,,8.8,2004,11.62,7.2,,20,
2004-05-23,,5,0.3,0.06,7.4,6.5,,,,,,,,,9.6,2004,14.53,7.4,,19,
2004-05-24,,5,0.3,,7.4,,,,,,,,,,8,2004,4.66,6.8,,19,
2004-05-25,,5,0.2,,,,,,,,,,,,7.1,2004,7.84,7.1,,19.5,
2004-06-02,,6,0.2,0.01,4.7,4.6,4.092,,,,,,,4.4,10.5,2004,13.36,7.2,,22,
2004-06-03,,6,0.2,,,,,,,,,,,,6.4,2004,12.07,7,,22.5,
2004-06-04,,6,0.2,,,,,,,,,,,,8.4,2004,11.56,7.1,,22.5,
2004-06-08,,6,0.3,0.01,6,4.4,,,,,,,,,9,2004,12.59,7.3,,19,
2004-06-09,,6,0.2,,,,,,,,,,,,10.2,2004,13.72,7.2,,19,
2004-06-10,,6,0.2,,,,,,,,,,,,10.1,2004,11.31,6.9,,20,
2004-06-14,,6,0.1,0.01,5.3,5.5,,,,,,,,,9.8,2004,7.43,7.1,,22,
2004-06-15,,6,0.2,,,,,,,,,,,,2,2004,8.12,6.7,,22.5,
2004-06-16,,6,0.1,,,,,,,,,,,,8.6,2004,8.36,6.8,,24.5,
2004-06-20,,6,0.2,0.01,5.9,5.9,,,,,,,,,9.4,2004,10.06,7.3,,21.5,
2004-06-21,,6,0.2,,,,,,,,,,,,9.4,2004,10.52,7.4,,20,
2004-06-22,,6,0.2,,,,,,,,,,,,7.8,2004,9.13,7.2,,19.5,
2004-06-28,,6,0.3,0.01,6.1,5.9,,,,,,,,,9.9,2004,7.59,6.9,,22.5,
2004-06-29,,6,0.8,,,,,,,,,,,,6.2,2004,8.01,6.5,,23,
2004-06-30,,6,0.2,,,,,,,,,,,,8.5,2004,8.02,7.3,,23,
2004-07-07,,7,0.1,0.01,5.4,,3.627,,,,,5.8,,3.9,9,2004,8.73,7.2,,21,
2004-07-08,,7,0.1,,,,,,,,,,,,9,2004,7.15,6.6,,24.5,
2004-07-09,,7,0.1,,,,,,,,,,,,12,2004,5.79,7,,23,
2004-07-13,,7,0.1,0.01,5.6,,,,,,,5.6,,,5.1,2004,7.41,7.2,,23,
2004-07-14,,7,0.1,,,,,,,,,,,,8.3,2004,7.33,7.1,,23.5,
2004-07-15,,7,0.1,,,,,,,,,,,,7.6,2004,7.9,6.7,,22,
2004-07-19,,7,0.1,0.01,5.2,,,,,,,5.3,,,9.1,2004,8.65,7.2,,24,
2004-07-20,,7,0.1,,,,,,,,,,,,10.1,2004,7.58,7.1,,24.5,
2004-07-21,,7,0.1,,,,,,,,,,,,8.5,2004,9.38,7.2,,23,
2004-07-25,,7,0.1,0.01,6.3,,,,,,,5.1,,,7.1,2004,7.68,7.2,,24.5,
2004-07-26,,7,0.3,,,,,,,,,,,,9.7,2004,7.87,6.9,,24,
2004-07-27,,7,0.1,,,,,,,,,,,,9.3,2004,9.85,7.2,,24,
2004-08-04,,8,0.1,0.01,6.3,,4.278,,,,,5.9,,4.6,13.5,2004,9.71,7.2,,21.5,
2004-08-05,,8,0.1,,,,,,,,,,,,6.4,2004,7.96,6.8,,22.5,
2004-08-06,,8,0.1,,,,,,,,,,,,8.2,2004,8.46,7.2,,22,
2004-08-10,,8,0.1,0.01,6.3,,,,,,,6.1,,,11,2004,6.53,7.1,,24,
2004-08-11,,8,0.1,,,,,,,,,,,,7.9,2004,9.18,7.2,,23.5,
2004-08-12,,8,0.1,,,,,,,,,,,,13.3,2004,8.69,7,,24,
2004-08-16,,8,0.1,0.01,6.6,,,,,,,5.1,,,12.9,2004,11,7.2,,23.5,
2004-08-17,,8,0.1,,,,,,,,,,,,13.2,2004,6.42,6.8,,23.5,
2004-08-18,,8,0.1,,,,,,,,,,,,8.8,2004,9.19,7.1,,22.5,
2004-08-22,,8,1.1,0,7.5,,,,,,,5.2,,,12.2,2004,7.31,7,,21.5,
2004-08-23,,8,0.1,,,,,,,,,,,,11.7,2004,8.9,7.2,,23.5,
2004-08-24,,8,1.1,,,,,,,,,,,,15.2,2004,6.35,7.2,,24.5,
2004-09-01,,9,0.2,0.01,7.3,,,,,,,4.9,,,8,2004,8.14,7,,23.5,
2004-09-02,,9,0.1,,,,,,,,,,,,5.5,2004,11.05,7.2,,22.5,
2004-09-03,,9,0.1,,,,,,,,,,,,9.4,2004,11.19,7.2,,22.5,
2004-09-07,,9,0.1,0.01,8.4,,,,,,,5.3,,,4.6,2004,11.85,7.2,,27.5,
2004-09-08,,9,0.1,,,,,,,,,,,,8.9,2004,11.77,8.1,,27,
2004-09-09,,9,0.1,,,,,,,,,,,,4.1,2004,11.94,7.2,,24.5,
2004-09-13,,9,0.4,0.01,10.4,,,,,,,5.3,,,7.9,2004,10.48,7.1,,22.5,
2004-09-14,,9,0.2,,,,,,,,,,,,8.5,2004,11.76,7.2,,22,
2004-09-15,,9,0.1,,,,,,,,,,,,5.7,2004,6.59,7,,22.5,
2004-09-19,,9,0.6,0.07,10.9,,5.022,,,,,5.1,,5.4,8.6,2004,4.97,7.2,,20,
2004-09-20,,9,0.4,,,,,,,,,,,,8.6,2004,8.74,7.3,,19.5,
2004-09-21,,9,0.3,,,,,,,,,,,,7.3,2004,8.5,7.3,,22.5,
2004-09-27,,9,0.2,0.01,15.4,,,,,,,5.2,,,7.2,2004,9.52,7.1,,20.5,
2004-09-28,,9,0.2,,,,,,,,,,,,8.5,2004,7.37,7.2,,21,
2004-09-29,,9,0.2,,,,,,,,,,,,6.1,2004,8.43,7.1,,20.5,
2004-10-06,,10,0.3,0.04,16.7,,5.301,,,,,5.9,,5.7,7.5,2004,11.38,7.2,,19.5,
2004-10-07,,10,0.4,,,,,,,,,,,,5.4,2004,8.86,7,,20.5,
2004-10-08,,10,0.2,,,,,,,,,,,,5.4,2004,8.94,7.2,,20,
2004-10-12,,10,0.2,0.03,17.2,,,,,,,6.7,,,6.8,2004,12,7.2,,20,
2004-10-13,,10,0.2,,,,,,,,,,,,4.9,2004,7.72,7,,19.5,
2004-10-14,,10,0.3,,,,,,,,,,,,5.4,2004,10.33,7.1,,19,
2004-10-18,,10,1,0.09,17.2,,,,,,,7.1,,,7.4,2004,14.08,7.3,,17.5,
2004-10-19,,10,2.4,,,,,,,,,,,,7,2004,14,7.3,,16,
2004-10-20,,10,3.3,,,,,,,,,,,,5.5,2004,14.2,7.3,,15,
2004-10-24,,10,2.4,0.28,17.4,,,,,,,8.1,,,9.1,2004,14.98,7.4,,16.5,
2004-10-25,,10,2.3,,,,,,,,,,,,7.5,2004,15.09,7.3,,18.5,
2004-10-26,,10,3.3,,,,,,,,,,,,8.3,2004,13.72,7.2,,16,
2004-11-02,,11,0.9,0.14,17.9,,4.371,,,,,4.4,,4.7,6.2,2004,7.38,6.6,,16,
2004-11-03,,11,0.9,,,,,,,,,,,,10,2004,13.96,7.2,,16,
2004-11-04,,11,2.7,,,,,,,,,,,,8.9,2004,14.9,7.1,,14.5,
2004-11-10,,11,3.8,0.17,10.4,,,,,,,3.8,,,9.3,2004,3.84,,,,
2004-11-11,,11,1.3,,,,,,,,,,,,12.3,2004,13.75,7.3,,15,
2004-11-12,,11,0.3,,,,,,,,,,,,9.8,2004,12.75,7.3,,15,
2004-11-15,,11,0.1,0.01,11,,,,,,,2.6,,,19.1,2004,13.81,7.4,,16.5,
2004-11-16,,11,0.5,,,,,,,,,,,,12,2004,13.86,7.3,,15.5,
2004-11-17,,11,0.1,,,,,,,,,,,,13.2,2004,13.18,7.4,,15.5,
2004-11-21,,11,0.1,0.01,8.3,,,,,,,2.9,,,12.3,2004,13.78,7.4,,13,
2004-11-22,,11,0.5,,,,,,,,,,,,11.5,2004,11.48,6.9,,13.5,
2004-11-23,,11,0.7,,,,,,,,,,,,14.6,2004,19.38,7.3,,12,
2004-12-01,,12,1,0.12,8.7,,3.348,,,,,4.1,,3.6,16.5,2004,13.84,7.2,,9.5,
2004-12-02,,12,1.9,,,,,,,,,,,,14.8,2004,16.28,7.2,,9,
2004-12-03,,12,1.9,,,,,,,,,,,,20,2004,20.18,7.3,,8.5,
2004-12-07,,12,2.2,0.51,10.3,,,,,,,3.4,,,16.2,2004,19.09,7.2,,10.5,
2004-12-08,,12,2.1,,,,,,,,,,,,13.6,2004,18.36,7.3,,12,
2004-12-09,,12,1.8,,,,,,,,,,,,16.4,2004,17.65,7.3,,13,
2004-12-13,,12,0.8,0.25,13.3,,,,,,,3.6,,,15.8,2004,16.38,7.1,,13,
2004-12-14,,12,1.3,,,,,,,,,,,,14.4,2004,15.65,7.2,,13,
2004-12-15,,12,1.3,,,,,,,,,,,,12.4,2004,15.29,7.3,,12.5,
2004-12-20,,12,0.9,0.2,12.6,,,,,,,3.4,,,17,2004,12.41,7.3,,10.5,
2004-12-21,,12,0.8,,,,,,,,,,,,13.3,2004,15.99,7.3,,8,
2004-12-26,,12,1.9,0.24,13.7,,3.534,,,,,3.5,,3.8,15.2,2004,15.19,7.3,,7.5,
2004-12-27,,12,1.6,,,,,,,,,,,,12.9,2004,13.05,7.3,,8.5,
2004-12-28,,12,1.9,,,,,,,,,,,,14.4,2004,11.35,8.1,,7.5,
2005-01-05,,1,1.8,0.26,13.4,,3.069,,,,,3.9,,3.3,10.5,2005,16.81,7.1,,7.5,
2005-01-06,,1,1.9,,,,,,,,,,,,5.8,2005,9.89,6.7,,7.5,
2005-01-07,,1,2.4,,,,,,,,,,,,10.1,2005,16.14,7.1,,7.5,
2005-01-11,,1,3.4,0.35,14.2,,,,,,,5.4,,,9.3,2005,16.82,7,,9,
2005-01-12,,1,4.1,,,,,,,,,,,,8,2005,16.02,7.1,,7.5,
2005-01-13,,1,4.9,,,,,,,,,,,,8.6,2005,14.67,7.1,,8,
2005-01-17,,1,6.9,0.38,14.5,,,,,,,8.4,,,7.8,2005,16.05,7.3,,8.5,
2005-01-18,,1,5.4,,,,,,,,,,,,7,2005,9.88,7.1,,9.5,
2005-01-19,,1,7.1,,,,,,,,,,,,8.3,2005,16.23,7.1,,9.5,
2005-01-23,,1,8.4,0.26,11.9,,,,,,,9.6,,,11.8,2005,16.18,7.1,,11,
2005-01-24,,1,5,,,,,,,,,,,,7.8,2005,16.99,7.1,,10.5,
2005-01-25,,1,4.2,,,,,,,,,,,,8.3,2005,9.45,7,,11,
2005-02-02,,2,2.2,0.09,15.4,,,,,,,4.4,,,5.8,2005,9.41,6.8,,13,
2005-02-03,,2,2.3,,,,,,,,,,,,11.1,2005,15.14,7.1,,12,
2005-02-04,,2,3.4,,,,,,,,,,,,13.9,2005,15.96,7,,12,
2005-02-08,,2,2.3,0.19,16.3,,3.906,,,,,4.9,,4.2,11.8,2005,14.82,7.3,,13,
2005-02-09,,2,2.2,,,,,,,,,,,,11.4,2005,15.21,7,,13.5,
2005-02-10,,2,2.2,,,,,,,,,,,,9,2005,5.91,7.1,,15,
2005-02-13,,2,4,,,,,,,,,,,,9.5,2005,15.79,7,,12,
2005-02-14,,2,4.4,0.18,14.9,,,,,,,5.2,,,11.1,2005,15.69,7.1,,12.5,
2005-02-15,,2,4.5,,,,,,,,,,,,6.7,2005,10.07,7.1,,13.5,
2005-02-21,,2,2.2,0.16,14.2,,,,,,,5.9,,,12.3,2005,15.59,7.3,,12.5,
2005-02-22,,2,2.1,,,,,,,,,,,,11.5,2005,17.76,7.4,,13.5,
2005-02-23,,2,2,,,,,,,,,,,,10.8,2005,17.06,7.2,,13,
2005-03-02,,3,0.7,0.12,16.2,,2.883,,,,,5.5,,3.1,12.5,2005,16.01,7.3,,14,
2005-03-03,,3,0.8,,,,,,,,,,,,9.6,2005,18.59,7.3,,14,
2005-03-04,,3,1.3,,,,,,,,,,,,13.7,2005,18.17,7.1,,14,
2005-03-08,,3,0.3,0.04,14.9,,,,,,,5.4,,,13.1,2005,18.08,7.2,,15.5,
2005-03-09,,3,0.3,,,,,,,,,,,,12.8,2005,14.59,7.4,,17.5,
2005-03-10,,3,0.4,,,,,,,,,,,,10.6,2005,7.97,7.3,,16.5,
2005-03-14,,3,0.3,0.05,13.8,,,,,,,4.8,,,12.3,2005,16.08,7.4,,15,
2005-03-15,,3,0.3,,,,,,,,,,,,7.8,2005,4.88,7.2,,15,
2005-03-16,,3,0.1,,,,,,,,,,,,8.6,2005,6.95,7.4,,14.5,
2005-03-20,,3,0.5,0.02,11.7,,,,,,,5.3,,,12.9,2005,17.3,7.5,,13,
2005-03-21,,3,0.2,,,,,,,,,,,,12.6,2005,15.38,7.5,,12,
2005-03-22,,3,0.4,,,,,,,,,,,,11.3,2005,16,7.6,,12.5,
2005-03-28,,3,0.5,0.01,11.9,,,,,,,5.1,,,11.7,2005,16,7.2,,12.5,
2005-03-29,,3,0.5,,,,,,,,,,,,15,2005,12.94,7.4,,12,
2005-03-30,,3,0.5,,,,,,,,,,,,11,2005,15.43,7.5,,12.5,
2005-04-06,,4,0.1,0.01,8.4,,1.302,,,,,4.4,,1.4,7.6,2005,11.44,,,,
2005-04-07,,4,0.3,,,,,,,,,,,,8.5,2005,16.25,7.6,,15,
2005-04-08,,4,0.4,,,,,,,,,,,,12.3,2005,7.53,6.7,,12.5,
2005-04-12,,4,0.1,0.01,7.4,,,,,,,4.3,,,8.5,2005,19.68,7.2,,14,
2005-04-13,,4,0.1,,,,,,,,,,,,9.8,2005,12.42,7,,14,
2005-04-14,,4,0.1,,,,,,,,,,,,11.9,2005,22.64,7.1,,14.5,
2005-04-18,,4,0.3,0.03,7.7,,,,,,,4.1,,,6.6,2005,18.55,7.5,,14.5,
2005-04-19,,4,0.8,,,,,,,,,,,,10.7,2005,13.59,7,,15,
2005-04-20,,4,0.5,,,,,,,,,,,,9.9,2005,18.65,7.2,,15,
2005-04-24,,4,0.5,0.02,6,,,,,,,4.2,,,10.7,2005,17.42,7.3,,13.5,
2005-04-25,,4,0.2,,,,,,,,,,,,12.5,2005,16.86,7.3,,13.5,
2005-04-26,,4,0.1,,,,,,,,,,,,11.5,2005,16.32,7.2,,14.5,
2005-05-01,,5,0.1,0.03,5.2,,2.79,,,,,4,,3,9.6,2005,2,7.4,,15.5,
2005-05-02,,5,0.1,,,,,,,,,,,,9.6,2005,23.91,7.3,,15.5,
2005-05-03,,5,0.1,,,,,,,,,,,,11.6,2005,21.27,7.3,,16,
2005-05-08,,5,0.2,0.04,8.9,,,,,,,4.4,,,11.8,2005,9.11,7.3,,16,
2005-05-09,,5,0.4,,,,,,,,,,,,12.5,2005,13.18,7.1,,14.5,
2005-05-10,,5,0.3,,,,,,,,,,,,8.6,2005,12.61,7.2,,14,
2005-05-16,,5,1.5,0.26,8.6,,,,,,,3.8,,,19.5,2005,8.08,7.2,,18,
2005-05-17,,5,0.4,,,,,,,,,,,,10.2,2005,10.71,6.9,,17,
2005-05-18,,5,0.7,,,,,,,,,,,,11,2005,7.57,7.1,,18,
2005-05-25,,5,0.2,0.04,7.6,,,,,,,4.5,,,7.4,2005,10.09,7.2,,19.5,
2005-05-26,,5,0.3,,,,,,,,,,,,8.5,2005,2.92,7,,21,
2005-05-27,,5,0.3,,,,,,,,,,,,10.8,2005,13.05,7,,18,
2005-06-01,,6,0.3,0.04,6.4,,,,,,,3.8,,,7.6,2005,9.87,7,,18.5,
2005-06-02,,6,0.3,,,,,,,,,,,,10,2005,11.01,7.4,,19.5,
2005-06-03,,6,0.2,,,,,,,,,,,,12,2005,9.29,6.7,,20.5,
2005-06-06,,6,0.1,0.02,6.9,,3.069,,,,,3.7,,3.3,12.8,2005,13.14,7.2,,13.5,
2005-06-07,,6,0.2,,,,,,,,,,,,10.3,2005,8.41,7.4,,17.5,
2005-06-08,,6,0.2,,,,,,,,,,,,11.5,2005,11.25,7.2,,16,
2005-06-13,,6,0.3,0.04,6.1,,,,,,,4.6,,,8,2005,8.93,7.2,,18.5,
2005-06-14,,6,0.2,,,,,,,,,,,,11.7,2005,12.37,7.3,,19.5,
2005-06-15,,6,0.2,,,,,,,,,,,,14.5,2005,15.45,7.1,,20.1,
2005-06-20,,6,0.2,0.05,,,,,,,,4.1,,,12.1,2005,9.31,7.1,,20.5,
2005-06-21,,6,0.2,,6.7,,,,,,,,,,13.2,2005,12.78,7.2,,19,
2005-06-22,,6,0.2,,,,,,,,,,,,12.8,2005,8.63,7.1,,19.5,
2005-06-26,,6,0.1,0.02,6.6,,,,,,,3.9,,,13.4,2005,7.85,7.2,,21.5,
2005-06-27,,6,0.2,,,,,,,,,,,,16,2005,13.37,7.3,,19.5,
2005-06-28,,6,0.3,,,,,,,,,,,,14.8,2005,14.22,7.4,,21,
2005-07-06,,7,0.1,0.02,6.9,,1.674,,,,,4.2,,1.8,9.9,2005,3.4,6.8,,22,
2005-07-07,,7,0.2,,,,,,,,,,,,13.6,2005,7.43,7.3,,22,
2005-07-08,,7,0.3,,,,,,,,,,,,12.5,2005,7.89,7.3,,21.5,
2005-07-12,,7,0.3,0.02,6.6,,,,,,,,,,10.1,2005,4.25,7.3,,19.5,
2005-07-13,,7,0.3,,,,,,,,,4.3,,,11.7,2005,6.68,7.3,,19.5,
2005-07-14,,7,0.4,,,,,,,,,,,,13.5,2005,5.92,7,,21.5,
2005-07-18,,7,0.1,0.02,7.6,,,,,,,3.9,,,6.7,2005,5.44,6.9,,20,
2005-07-19,,7,0.2,,,,,,,,,,,,9.4,2005,3.19,6.7,,21,
2005-07-20,,7,0.2,,,,,,,,,,,,10.8,2005,5.65,7.3,,19.5,
2005-07-25,,7,0.2,0.02,8,,,,,,,4.1,,,8.5,2005,5.17,7.2,,20,
2005-07-26,,7,0.2,,,,,,,,,,,,10.1,2005,6.96,7.3,,20,
2005-07-27,,7,0.1,,,,,,,,,,,,11,2005,4.41,7.4,,20,
2005-08-03,,8,0.2,0.05,7.5,,2.883,,,,,,,3.1,12.2,2005,5.08,6.8,,21,
2005-08-04,,8,0.2,,,,,,,,,3.4,,,8.9,2005,5.28,7.2,,21,
2005-08-05,,8,0.2,,,,,,,,,,,,14.8,2005,6.07,7,,21.5,
2005-08-09,,8,0.1,,,,,,,,,,,,9.9,2005,4.4,7.2,,20.5,
2005-08-10,,8,0.1,0.01,5.9,,,,,,,4.5,,,10.4,2005,3.97,6.7,,21,
2005-08-11,,8,0.2,,,,,,,,,,,,10,2005,6.88,7.1,,22,
2005-08-16,,8,0.2,0.02,5.1,,,,,,,3.8,,,8.6,2005,4.32,7.3,,19.5,
2005-08-17,,8,0.2,,,,,,,,,,,,10,2005,7.61,7.2,,18,
2005-08-18,,8,0.1,,,,,,,,,,,,12.8,2005,3.27,7.1,,22.6,
2005-08-21,,8,0.1,0.02,5.1,,,,,,,4.2,,,11.2,2005,2.02,7.2,,17,
2005-08-22,,8,0.2,,,,,,,,,,,,10.7,2005,7.34,7.4,,16.5,
2005-08-23,,8,0.2,,,,,,,,,,,,10.9,2005,8.31,7.2,,18,
2005-08-29,,8,0.2,0.02,5,,,,,,,4.6,,,7.2,2005,12.32,7.3,,18.5,
2005-08-30,,8,0.1,,,,,,,,,,,,13.3,2005,7.58,7,,20,
2005-08-31,,8,0.1,,,,,,,,,,,,9.8,2005,9.73,7.4,,20,
2005-09-07,,9,0.1,0.01,5.1,,,,,,,4.3,,,9.3,2005,15.88,7.2,,16.5,
2005-09-08,,9,0.2,,,,,,,,,,,,7.7,2005,14.62,7.3,,16,
2005-09-09,,9,0.1,,,,,,,,,,,,9.8,2005,8.43,7.1,,18,
2005-09-13,,9,0.1,0.01,5.3,,3.255,,,,,4.5,,3.5,8.7,2005,9.93,7.4,,16,
2005-09-14,,9,0.1,,,,,,,,,,,,9.8,2005,11.47,7.5,,15.5,
2005-09-15,,9,0.1,,,,,,,,,,,,9.8,2005,10.03,7.5,,16,
2005-09-19,,9,0.1,0.01,5.1,,,,,,,4.4,,,8.2,2005,9.44,7.5,,15.5,
2005-09-20,,9,0.1,,,,,,,,,,,,9,2005,11.73,7.5,,17,
2005-09-21,,9,0.2,,,,,,,,,,,,9,2005,13.47,7.4,,16.5,
2005-09-25,,9,0.1,0.01,4.8,,,,,,,4.7,,,8.9,2005,13.35,7.4,,14.5,
2005-09-26,,9,0.1,,,,,,,,,,,,8.3,2005,9.27,7.3,,15.5,
2005-09-27,,9,0.2,,,,,,,,,,,,8.5,2005,12.56,7.4,,17,
2005-10-05,,10,0.1,0.01,5.5,,3.348,,,,,4.5,,3.6,8.8,2005,10.17,7.4,,17.5,
2005-10-06,,10,0.1,,,,,,,,,,,,10,2005,12.1,7.2,,18.5,
2005-10-07,,10,0.1,,,,,,,,,,,,7.3,2005,8.66,6.9,,14,
2005-10-11,,10,0.1,0.01,5.9,,,,,,,4.8,,,8,2005,12.79,7.3,,15,
2005-10-12,,10,0.1,,,,,,,,,,,,7.3,2005,11.72,7.2,,15,
2005-10-13,,10,0.1,,,,,,,,,,,,7.5,2005,13.51,7.3,,15,
2005-10-17,,10,0.2,0.01,5.1,,,,,,,4.1,,,7.2,2005,15.71,7.2,,13.5,
2005-10-18,,10,0.1,,,,,,,,,,,,6.6,2005,10.02,7.2,,15,
2005-10-19,,10,0.1,,,,,,,,,,,,6.2,2005,10.13,7.2,,15,
2005-10-23,,10,0.1,0.01,6,,,,,,,3.8,,,7,2005,14.29,7.2,,13,
2005-10-24,,10,0.2,,,,,,,,,,,,9.5,2005,13.5,7.2,,13,
2005-10-25,,10,0.1,,,,,,,,,,,,7.8,2005,11.93,7.2,,13.5,
2005-11-01,,11,0.3,0.04,7.4,,,,,,,5,,,9.7,2005,13.06,7.3,,14,
2005-11-02,,11,0.4,,,,,,,,,,,,10.5,2005,14.52,7.1,,14.5,
2005-11-03,,11,0.5,,,,,,,,,,,,10.5,2005,13.12,7,,12,
2005-11-08,,11,1.1,0.11,8.7,,4.65,,,,,5,,5,14.7,2005,16.86,7.3,,16,
2005-11-09,,11,1.2,,,,,,,,,,,,10.5,2005,16.06,7.4,,16,
2005-11-10,,11,1.1,,,,,,,,,,,,9.4,2005,10.25,7.1,,15,
2005-11-16,,11,0.9,0.18,11.1,,,,,,,5.1,,,13.3,2005,13.77,7,,16,
2005-11-17,,11,1.5,,,,,,,,,,,,12.7,2005,17.43,7.2,,15.5,
2005-11-18,,11,1.9,,,,,,,,,,,,15.8,2005,10.39,7.1,,16,
2005-11-20,,11,1.9,0.35,11.3,,,,,,,5.1,,,10.7,2005,17.85,7.3,,14,
2005-11-21,,11,1.9,,,,,,,,,,,,9.5,2005,16.7,7.1,,14,
2005-11-22,,11,2.5,,,,,,,,,,,,10.8,2005,9.11,7.1,,14.5,
2005-11-27,,11,3.4,0.39,12.3,,,,,,,5.5,,,16,2005,13.21,7.2,,11.5,
2005-11-28,,11,3.6,,,,,,,,,,,,16.4,2005,13.44,7,,10.5,
2005-11-29,,11,5.3,,,,,,,,,,,,13.2,2005,11.56,7.1,,12,
2005-12-06,,12,5.8,0.29,12.8,,4.65,,,,,5.6,,5,12.2,2005,14.17,7,,10.5,
2005-12-07,,12,5.8,,,,,,,,,,,,18.2,2005,13.33,7.1,,11,
2005-12-08,,12,5.6,,,,,,,,,,,,13.2,2005,8.37,7.1,,12,
2005-12-14,,12,0.6,0.03,20.9,,,,,,,5,,,11.7,2005,7.54,7,,12,
2005-12-15,,12,1.9,,,,,,,,,,,,12.4,2005,6.12,6.8,,11.5,
2005-12-16,,12,1.4,,,,,,,,,,,,9.2,2005,6.61,7,,10,
2005-12-19,,12,4.4,0.25,16.9,,,,,,,5.5,,,13,2005,10.73,7,,13.5,
2005-12-20,,12,4.5,,,,,,,,,,,,15.2,2005,14.09,7,,13,
2005-12-21,,12,3,,,,,,,,,,,,12.2,2005,15.45,6.9,,14.5,
2005-12-26,,12,3.7,0.38,17.9,,,,,,,5.3,,,8.8,2005,14.97,6.8,,15,
2005-12-27,,12,4.2,,,,,,,,,,,,8.3,2005,14.97,7,,15,
2005-12-28,,12,3.4,,,,,,,,,,,,10,2005,13.18,7.1,,14.5,
2006-01-04,,1,11.9,0.45,11,1.6,,,,,,13.5,,,13.3,2006,21.68,6.9,,13,
2006-01-05,,1,11.7,,,,,,,,,,,,10.2,2006,23.08,7,,12.5,
2006-01-06,,1,10.2,,,,,,,,,,,,14.4,2006,20.29,6.8,,12,
2006-01-10,,1,5.11,,,,3.069,,,,,,,3.3,11.1,2006,16.43,7.1,,12,
2006-01-11,,1,6.92,0.37,15,0.55,,,,,,7.47,,,10.7,2006,17.89,7.1,,13,
